EVENT_ID,STATE,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_NAME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,TOR_F_SCALE
10120409,TEXAS,1950,February,Tornado,C,SHELBY,32,0,0,0,250K,0,F1
10120410,TEXAS,1950,February,Tornado,C,SHELBY,15,0,3,0,250K,0,F3
10120411,TEXAS,1950,April,Tornado,C,CALLAHAN,5,0,5,0,250K,0,F4
10120413,TEXAS,1950,May,Tornado,C,OCHILTREE,13,0,1,0,250K,0,F2
10120414,TEXAS,1950,May,Tornado,C,FORT BEND,0,0,0,0,2.5K,0,F1
10120415,TEXAS,1950,May,Tornado,C,KENDALL,0,0,0,0,25K,0,F2
10080563,NEW MEXICO,1950,July,Tornado,C,QUAY,0,0,0,0,.25K,0,F1
10080564,NEW MEXICO,1950,August,Tornado,C,SOCORRO,0,0,0,0,25K,0,F1
10050382,MISSISSIPPI,1950,May,Tornado,C,JEFFERSON,0,0,0,0,25K,0,F1
10050383,MISSISSIPPI,1950,May,Tornado,C,ADAMS,0,0,0,0,25K,0,
10050384,MISSISSIPPI,1950,June,Tornado,C,ATTALA,1,0,2,0,0K,0,F3
9981923,ARKANSAS,1950,February,Tornado,C,GRANT,0,0,0,0,2.5K,0,F2
9981924,ARKANSAS,1950,February,Tornado,C,UNION,0,0,0,0,25K,0,F2
9981925,ARKANSAS,1950,March,Tornado,C,CLARK,3,0,0,0,25K,0,F2
10063615,MISSOURI,1950,January,Tornado,C,ST. LOUIS,3,0,0,0,2.5M,0,F3
10063617,MISSOURI,1950,June,Tornado,C,PULASKI,0,0,0,0,2.5K,0,F1
10063618,MISSOURI,1950,June,Tornado,C,SHELBY,0,0,0,0,2.5K,0,F1
10063619,MISSOURI,1950,July,Tornado,C,MORGAN,0,0,0,0,.25K,0,F1
10049527,MISSISSIPPI,1950,March,Tornado,C,HUMPHREYS,2,0,1,0,0K,0,F2
10049528,MISSISSIPPI,1950,March,Tornado,C,ATTALA,0,0,0,0,0K,0,F2
10049529,MISSISSIPPI,1950,March,Tornado,C,HINDS,7,0,0,0,250K,0,F2
10049530,MISSISSIPPI,1950,March,Tornado,C,HINDS,6,0,0,0,250K,0,F2
10096231,OKLAHOMA,1950,May,Tornado,C,PONTOTOC,0,0,0,0,25K,0,F1
10096232,OKLAHOMA,1950,May,Tornado,C,BEAVER,0,0,0,0,.25K,0,F1
10096233,OKLAHOMA,1950,May,Tornado,C,DEWEY,1,0,0,0,2.5K,0,F1
10096234,OKLAHOMA,1950,May,Tornado,C,CUSTER,0,0,0,0,0K,0,F1
10096235,OKLAHOMA,1950,May,Tornado,C,WOODWARD,2,0,0,0,25K,0,F2
